0	0	0	0
2	3	0	0
4	6	0	0
6	9	0	0
8	12	0	0
10	15	0	0
12	18	0	0
14	21	0	0
16	24	0	0
18	27	0	0
20	30	0	0
22	33	0	0
24	36	0	0
26	39	0	0
28	42	0	0
30	45	0	0
32	48	0	0
34	51	0	0
36	54	0	0
38	57	0	0
40	60	0	0
42	63	0	0
44	66	0	0
46	69	0	0
48	72	0	0
50	75	0	0
52	78	0	0
54	81	0	0
56	84	0	0
58	87	0	0
60	90	0	0
62	93	0	0
64	96	0	0
66	99	0	0
68	102	0	0
70	105	0	0
72	108	0	0
74	111	0	0
76	114	0	0
78	117	0	0
80	120	0	0
82	123	0	0
84	126	0	0
86	129	0	0
88	132	0	0
90	135	0	0
92	138	0	0
94	141	0	0
96	144	0	0
98	147	0	0
100	150	0	0
102	153	0	0
104	156	0	0
106	159	0	0
108	162	0	0
110	165	0	0
112	168	0	0
114	171	0	0
116	174	0	0
118	177	0	0
120	180	0	0
122	183	0	0
124	186	0	0
126	189	0	0
128	192	0	0
130	195	0	0
132	198	0	0
134	201	0	0
136	204	0	0
138	207	0	0
140	210	0	0
142	213	0	0
144	216	0	0
146	219	0	0
148	222	0	0
150	225	0	0
152	228	0	0
154	231	0	0
156	234	0	0
158	237	0	0
160	240	0	0
162	243	0	0
164	246	0	0
166	249	0	0
168	252	0	0
170	255	0	0
172	258	0	0
174	261	0	0
176	264	0	0
178	267	0	0
180	270	0	0
182	273	0	0
184	276	0	0
186	279	0	0
188	282	0	0
190	285	0	0
192	288	0	0
194	291	0	0
196	294	0	0
198	297	0	0
200	300	0	0
202	303	0	0
204	306	0	0
206	309	0	0
208	312	0	0
210	315	0	0
212	318	0	0
214	321	0	0
216	324	0	0
218	327	0	0
220	330	0	0
222	333	0	0
224	336	0	0
226	339	0	0
228	342	0	0
230	345	0	0
232	348	0	0
234	351	0	0
236	354	0	0
238	357	0	0
240	360	0	0
242	363	0	0
244	366	0	0
246	369	0	0
248	372	0	0
250	375	0	0
252	378	0	0
254	381	0	0
256	384	0	0
258	387	0	0
260	390	0	0
262	393	0	0
264	396	0	0
266	399	0	0
268	402	0	0
270	405	0	0
272	408	0	0
274	411	0	0
276	414	0	0
278	417	0	0
280	420	0	0
282	423	0	0
284	426	0	0
286	429	0	0
288	432	0	0
290	435	0	0
292	438	0	0
294	441	0	0
296	444	0	0
298	447	0	0
300	450	0	0
302	453	0	0
304	456	0	0
306	459	0	0
308	462	0	0
310	465	0	0
312	468	0	0
314	471	0	0
316	474	0	0
318	477	0	0
320	480	0	0
322	483	0	0
324	486	0	0
326	489	0	0
328	492	0	0
330	495	0	0
332	498	0	0
334	501	0	0
336	504	0	0
338	507	0	0
340	510	0	0
342	513	0	0
344	516	0	0
346	519	0	0
348	522	0	0
350	525	0	0
352	528	0	0
354	531	0	0
356	534	0	0
358	537	0	0
360	540	0	0
362	543	0	0
364	546	0	0
366	549	0	0
368	552	0	0
370	555	0	0
372	558	0	0
374	561	0	0
376	564	0	0
378	567	0	0
380	570	0	0
382	573	0	0
384	576	0	0
386	579	0	0
388	582	0	0
390	585	0	0
392	588	0	0
394	591	0	0
396	594	0	0
398	597	0	0
400	600	0	0
402	603	0	0
404	606	0	0
406	609	0	0
408	612	0	0
410	615	0	0
412	618	0	0
414	621	0	0
416	624	0	0
418	627	0	0
420	630	0	0
422	633	0	0
424	636	0	0
426	639	0	0
428	642	0	0
430	645	0	0
432	648	0	0
434	651	0	0
436	654	0	0
438	657	0	0
440	660	0	0
442	663	0	0
444	666	0	0
446	669	0	0
448	672	0	0
450	675	0	0
452	678	0	0
454	681	0	0
456	684	0	0
458	687	0	0
460	690	0	0
462	693	0	0
464	696	0	0
466	699	0	0
468	702	0	0
470	705	0	0
472	708	0	0
474	711	0	0
476	714	0	0
478	717	0	0
480	720	0	0
482	723	0	0
484	726	0	0
486	729	0	0
488	732	0	0
490	735	0	0
492	738	0	0
494	741	0	0
496	744	0	0
498	747	0	0
500	750	0	0
502	753	0	0
504	756	0	0
506	759	0	0
508	762	0	0
510	765	0	0
512	768	0	0
514	771	0	0
